State	county	census_2010_count
1	Anderson	58458
3	Andrews	14786
5	Angelina	86771
7	Aransas	23158
9	Archer	9054
11	Armstrong	1901
13	Atascosa	44911
15	Austin	28417
17	Bailey	7165
19	Bandera	20485
21	Bastrop	74171
23	Baylor	3726
25	Bee	31861
27	Bell	310235
29	Bexar	1714773
31	Blanco	10497
33	Borden	641
35	Bosque	18212
37	Bowie	92565
39	Brazoria	313166
41	Brazos	194851
43	Brewster	9232
45	Briscoe	1637
47	Brooks	7223
49	Brown	38106
51	Burleson	17187
53	Burnet	42750
55	Caldwell	38066
57	Calhoun	21381
59	Callahan	13544
61	Cameron	406220
63	Camp	12401
65	Carson	6182
67	Cass	30464
69	Castro	8062
71	Chambers	35096
73	Cherokee	50845
75	Childress	7041
77	Clay	10752
79	Cochran	3127
81	Coke	3320
83	Coleman	8895
85	Collin	782341
87	Collingsworth	3057
89	Colorado	20874
91	Comal	108472
93	Comanche	13974
95	Concho	4087
97	Cooke	38437
99	Coryell	75388
101	Cottle	1505
103	Crane	4375
105	Crockett	3719
107	Crosby	6059
109	Culberson	2398
111	Dallam	6703
113	Dallas	2368139
115	Dawson	13833
117	Deaf Smith	19372
119	Delta	5231
121	Denton	662614
123	De Witt	20097
125	Dickens	2444
127	Dimmit	9996
129	Donley	3677
131	Duval	11782
133	Eastland	18583
135	Ector	137130
137	Edwards	2002
139	Ellis	149610
141	El Paso	800647
143	Erath	37890
145	Falls	17866
147	Fannin	33915
149	Fayette	24554
151	Fisher	3974
153	Floyd	6446
155	Foard	1336
157	Fort Bend	585375
159	Franklin	10605
161	Freestone	19816
163	Frio	17217
165	Gaines	17526
167	Galveston	291309
169	Garza	6461
171	Gillespie	24837
173	Glasscock	1226
175	Goliad	7210
177	Gonzales	19807
179	Gray	22535
181	Grayson	120877
183	Gregg	121730
185	Grimes	26604
187	Guadalupe	131533
189	Hale	36273
191	Hall	3353
193	Hamilton	8517
195	Hansford	5613
197	Hardeman	4139
199	Hardin	54635
201	Harris	4092459
203	Harrison	65631
205	Hartley	6062
207	Haskell	5899
209	Hays	157107
211	Hemphill	3807
213	Henderson	78532
215	Hidalgo	774769
217	Hill	35089
219	Hockley	22935
221	Hood	51182
223	Hopkins	35161
225	Houston	23732
227	Howard	35012
229	Hudspeth	3476
231	Hunt	86129
233	Hutchinson	22150
235	Irion	1599
237	Jack	9044
239	Jackson	14075
241	Jasper	35710
243	Jeff Davis	2342
245	Jefferson	252273
247	Jim Hogg	5300
249	Jim Wells	40838
251	Johnson	150934
253	Jones	20202
255	Karnes	14824
257	Kaufman	103350
259	Kendall	33410
261	Kenedy	416
263	Kent	808
265	Kerr	49625
267	Kimble	4607
269	King	286
271	Kinney	3598
273	Kleberg	32061
275	Knox	3719
277	Lamar	49793
279	Lamb	13977
281	Lampasas	19677
283	La Salle	6886
285	Lavaca	19263
287	Lee	16612
289	Leon	16801
291	Liberty	75643
293	Limestone	23384
295	Lipscomb	3302
297	Live Oak	11531
299	Llano	19301
301	Loving	82
303	Lubbock	278831
305	Lynn	5915
307	McCulloch	8283
309	McLennan	234906
311	McMullen	707
313	Madison	13664
315	Marion	10546
317	Martin	4799
319	Mason	4012
321	Matagorda	36702
323	Maverick	54258
325	Medina	46006
327	Menard	2242
329	Midland	136872
331	Milam	24757
333	Mills	4936
335	Mitchell	9403
337	Montague	19719
339	Montgomery	455746
341	Moore	21904
343	Morris	12934
345	Motley	1210
347	Nacogdoches	64524
349	Navarro	47735
351	Newton	14445
353	Nolan	15216
355	Nueces	340223
357	Ochiltree	10223
359	Oldham	2052
361	Orange	81837
363	Palo Pinto	28111
365	Panola	23796
367	Parker	116927
369	Parmer	10269
371	Pecos	15507
373	Polk	45413
375	Potter	121073
377	Presidio	7818
379	Rains	10914
381	Randall	120725
383	Reagan	3367
385	Real	3309
387	Red River	12860
389	Reeves	13783
391	Refugio	7383
393	Roberts	929
395	Robertson	16622
397	Rockwall	78337
399	Runnels	10501
401	Rusk	53330
403	Sabine	10834
405	San Augustine	8865
407	San Jacinto	26384
409	San Patricio	64804
411	San Saba	6131
413	Schleicher	3461
415	Scurry	16921
417	Shackelford	3378
419	Shelby	25448
421	Sherman	3034
423	Smith	209714
425	Somervell	8490
427	Starr	60968
429	Stephens	9630
431	Sterling	1143
433	Stonewall	1490
435	Sutton	4128
437	Swisher	7854
439	Tarrant	1809034
441	Taylor	131506
443	Terrell	984
445	Terry	12651
447	Throckmorton	1641
449	Titus	32334
451	Tom Green	110224
453	Travis	1024266
455	Trinity	14585
457	Tyler	21766
459	Upshur	39309
461	Upton	3355
463	Uvalde	26405
465	Val Verde	48879
467	Van Zandt	52579
469	Victoria	86793
471	Walker	67861
473	Waller	43205
475	Ward	10658
477	Washington	33718
479	Webb	250304
481	Wharton	41280
483	Wheeler	5410
485	Wichita	131500
487	Wilbarger	13535
489	Willacy	22134
491	Williamson	422679
493	Wilson	42918
495	Winkler	7110
497	Wise	59127
499	Wood	41964
501	Yoakum	7879
503	Young	18550
505	Zapata	14018
507	Zavala	11677
